resp_id,query_id,is_dialog_system,time_in_sec,rest_id,correct,n_levenshtein
1,4,True,226.636682271957,1,True,0.0
1,3,True,60.8271250724792,43,True,0.0
1,2,True,32.080917596817,49,True,0.0
1,5,True,159.157279014587,51,True,0.0
1,1,True,20.0906372070312,39,True,0.0
1,4,False,39.0628950595856,46,True,
1,5,False,105.496710062027,37,True,
1,3,False,30.0343065261841,66,True,
1,2,False,7.34769701957703,96,True,
1,1,False,15.8680815696716,54,True,
2,5,False,165.858185768127,102,True,
2,4,False,43.2524371147156,92,False,
2,1,False,44.2758667469025,54,True,
2,3,False,24.1880130767822,66,True,
2,2,False,20.1081557273865,96,True,
2,5,True,102.070553779602,51,True,0.0
2,4,True,73.1956262588501,1,True,0.0
2,2,True,48.3706109523773,54,True,1.0
2,3,True,72.6259200572968,43,True,0.0
2,1,True,33.642138004303,8,True,0.0
3,3,True,26.20179533958435,43,True,0.0
3,5,True,50.92789125442505,51,True,1.0
3,4,True,27.92248034477234,1,True,0.0
3,1,True,11.427929401397705,8,True,0.0
3,2,True,29.753675937652588,14,True,0.0
3,5,False,64.9736852645874,37,True,
3,4,False,26.639967441558838,3,False,
3,1,False,21.34408402442932,43,True,
3,2,False,19.435069799423218,26,True,
3,3,False,22.796409130096436,66,True,
